id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CLEC14A	6	9.5625e-06	4.4545e-05	0.001422	25	6	-1.3857	0.99999	1.0	0.999995	873	0	-1.3857
RPL5	6	9.8374e-06	4.4545e-05	0.001422	26	6	-1.2932	0.99999	1.0	0.999995	872	0	-1.2932
NOTCH1	6	1.0553e-05	4.4545e-05	0.001422	27	6	-1.4495	0.99999	1.0	0.999995	871	0	-1.4495
RBPJ	6	1.1003e-05	4.4545e-05	0.001422	28	6	-1.5661	0.99999	1.0	0.999995	870	0	-1.5661
VEGFB	6	1.2967e-05	5.4444e-05	0.00157	29	6	-1.518	0.99999	1.0	0.999995	869	0	-1.518
RPS5	6	1.3683e-05	5.4444e-05	0.00157	30	6	-1.2621	0.99999	1.0	0.999995	868	0	-1.2621
PKM	6	1.5214e-05	5.4444e-05	0.00157	31	6	-1.1672	0.99998	1.0	0.999995	867	0	-1.1672
ROBO4	6	1.6886e-05	6.4342e-05	0.001743	32	6	-1.1509	0.99998	1.0	0.999995	866	0	-1.1509
HEY2	6	1.8947e-05	6.4342e-05	0.001743	33	6	-1.3591	0.99998	1.0	0.999995	865	0	-1.3591
STAB2	6	2.3412e-05	8.414e-05	0.001955	34	6	-1.5148	0.99998	1.0	0.999995	863	0	-1.5148
PDGFB	6	2.4582e-05	9.4039e-05	0.001955	35	6	-1.4385	0.99998	0.99999	0.999995	862	0	-1.4385
VEGFA4	6	2.4881e-05	9.4039e-05	0.001955	36	6	-1.0427	0.99998	0.99999	0.999995	861	0	-1.0427
UBA1	6	2.5184e-05	9.4039e-05	0.001955	37	6	-1.1717	0.99997	0.99999	0.999995	860	0	-1.1717
CALCRL	6	2.549e-05	9.4039e-05	0.001955	38	6	-1.4503	0.99997	0.99999	0.999995	859	0	-1.4503
NRP1	6	2.5741e-05	9.4039e-05	0.001955	39	6	-1.6869	0.99995	0.99996	0.999995	838	0	-1.6869
PSMD1	6	2.5799e-05	9.4039e-05	0.001955	40	6	-1.103	0.99997	0.99999	0.999995	858	0	-1.103
HEY1	6	2.7391e-05	9.4039e-05	0.001955	41	6	-1.3324	0.99997	0.99999	0.999995	857	0	-1.3324
GJA4	6	2.7719e-05	9.4039e-05	0.001955	42	6	-1.0935	0.99997	0.99999	0.999995	856	0	-1.0935
CD93	6	2.805e-05	9.4039e-05	0.001955	43	6	-1.4131	0.99997	0.99999	0.999995	855	0	-1.4131
MET	6	3.0463e-05	0.00010394	0.001957	44	6	-1.6483	0.99997	0.99999	0.999995	854	0	-1.6483
GJA5	6	3.1549e-05	0.00010394	0.001957	45	6	-1.0235	0.99997	0.99999	0.999995	853	0	-1.0235
LDHA	6	3.3046e-05	0.00010394	0.001957	46	6	-1.0076	0.99997	0.99999	0.999995	852	0	-1.0076
ANG5	6	3.4603e-05	0.00010394	0.001957	47	6	-1.3726	0.99997	0.99999	0.999995	851	0	-1.3726
RPL3	6	3.5001e-05	0.00011384	0.001957	48	6	-1.2219	0.99996	0.99999	0.999995	850	0	-1.2219
JAG2	6	3.622e-05	0.00011384	0.001957	49	6	-1.5935	0.99996	0.99999	0.999995	849	0	-1.5935
EPHB4	6	3.6634e-05	0.00011384	0.001957	50	6	-0.96258	0.99996	0.99999	0.999995	848	0	-0.96258
THBD	6	3.7474e-05	0.00011384	0.001957	51	6	-1.2059	0.99996	0.99998	0.999995	847	0	-1.2059
FGFR1	6	3.7899e-05	0.00011384	0.001957	52	6	-1.5751	0.99996	0.99998	0.999995	846	0	-1.5751
ETS1	6	4.054e-05	0.00014353	0.002421	53	6	-1.1983	0.99996	0.99998	0.999995	844	0	-1.1983
PDGFRB	6	4.2856e-05	0.00015343	0.002494	54	6	-1.57	0.99996	0.99998	0.999995	843	0	-1.57
ACTG1	6	4.4787e-05	0.00015343	0.002494	55	6	-1.2151	0.99996	0.99998	0.999995	842	0	-1.2151
RPS4	6	4.6283e-05	0.00016333	0.002607	56	6	-1.2237	0.99995	0.99998	0.999995	841	0	-1.2237
ACKR1	6	4.782e-05	0.00017323	0.002717	57	6	-0.92113	0.99995	0.99997	0.999995	840	0	-0.92113
FGF2	6	4.9399e-05	0.00018313	0.002775	58	6	-1.3872	0.99995	0.99997	0.999995	839	0	-1.3872
PROCR	6	5.2127e-05	0.00018313	0.002775	59	6	-1.0873	0.99995	0.99996	0.999995	837	0	-1.0873
MMRN2	6	5.3824e-05	0.00019303	0.002783	60	6	-1.2773	0.99995	0.99996	0.999995	836	0	-1.2773
RAMP3	6	5.44e-05	0.00019303	0.002783	61	6	-1.2212	0.99995	0.99996	0.999995	835	0	-1.2212
CD36	6	5.498e-05	0.00019303	0.002783	62	6	-1.1439	0.99995	0.99995	0.999995	834	0	-1.1439
ENO1	6	5.5566e-05	0.00020293	0.002835	63	6	-1.0748	0.99994	0.99995	0.999995	833	0	-1.0748
ENTPD1	6	5.6754e-05	0.00020293	0.002835	64	6	-1.2253	0.99994	0.99995	0.999995	832	0	-1.2253
ANG2	6	5.9192e-05	0.00021282	0.002883	65	6	-0.9904	0.99994	0.99995	0.999995	831	0	-0.9904
IGF1	6	5.9318e-05	0.00021282	0.002883	66	6	-1.5906	0.99989	0.99991	0.999995	812	0	-1.5906
VEGFA5	6	6.3013e-05	0.00022272	0.002972	67	6	-0.96039	0.99994	0.99995	0.999995	829	0	-0.96039
FCN3	6	6.6352e-05	0.00023262	0.003058	68	6	-1.2228	0.99993	0.99995	0.999995	828	0	-1.2228
PSMA2	6	6.9838e-05	0.00024252	0.003142	69	6	-1.234	0.99993	0.99994	0.999995	827	0	-1.234
EMCN	6	7.2735e-05	0.00025242	0.003224	70	6	-1.1219	0.99993	0.99994	0.999995	826	0	-1.1219
ANG4	6	7.883e-05	0.00028212	0.003552	71	6	-1.1554	0.99992	0.99993	0.999995	825	0	-1.1554
DLL1	6	7.9621e-05	0.00029202	0.003626	72	6	-0.98802	0.99992	0.99993	0.999995	824	0	-0.98802
ACTB	6	8.3675e-05	0.00030191	0.003668	73	6	-0.78103	0.99992	0.99992	0.999995	823	0	-0.78103
PROX1	6	8.4506e-05	0.00031181	0.003668	74	6	-1.0903	0.99992	0.99992	0.999995	822	0	-1.0903
PSMB1	6	8.6189e-05	0.00031181	0.003668	75	6	-1.1547	0.99991	0.99992	0.999995	821	0	-1.1547
JAM1	6	8.79e-05	0.00031181	0.003668	76	6	-1.0717	0.99991	0.99992	0.999995	820	0	-1.0717
PLVAP	6	8.9639e-05	0.00032171	0.003735	77	6	-1.0474	0.99991	0.99992	0.999995	819	0	-1.0474
STAB1	6	9.1407e-05	0.00034151	0.003816	78	6	-1.2741	0.99991	0.99992	0.999995	818	0	-1.2741
JAG1	6	9.2302e-05	0.00034151	0.003816	79	6	-1.4975	0.99991	0.99992	0.999995	817	0	-1.4975
TUBA1A	6	9.3204e-05	0.00034151	0.003816	80	6	-1.2294	0.99991	0.99992	0.999995	816	0	-1.2294
RPS3	6	9.4113e-05	0.00035141	0.003879	81	6	-1.0699	0.99991	0.99992	0.999995	815	0	-1.0699
PGK1	6	0.00010263	0.0004306	0.004695	82	6	-1.0078	0.9999	0.99991	0.999995	814	0	-1.0078
VEGFA1	6	0.00010867	0.0004504	0.004851	83	6	-1.0592	0.99989	0.99991	0.999995	813	0	-1.0592
POLR2A	6	0.00011826	0.00048999	0.005215	84	6	-0.96456	0.99988	0.9999	0.999995	811	0	-0.96456
ACKR3	6	0.00012275	0.00049989	0.005258	85	6	-1.0897	0.99988	0.99989	0.999995	810	0	-1.0897
MMRN1	6	0.00012975	0.00053949	0.005608	86	6	-1.2274	0.99987	0.99988	0.999995	809	0	-1.2274
HSPA8	6	0.00013833	0.00057908	0.005951	87	6	-0.84393	0.99986	0.99986	0.999995	808	0	-0.84393
ANG1	6	0.00014605	0.00061868	0.006285	88	6	-0.93345	0.99985	0.99984	0.999995	807	0	-0.93345
RPL4	6	0.00016403	0.00069787	0.00701	89	6	-1.1025	0.99984	0.99981	0.999995	806	0	-1.1025
VEGFA3	6	0.00021445	0.00097504	0.009685	90	6	-1.1041	0.99979	0.99976	0.999995	805	0	-1.1041
HSP90AA1	6	0.00024719	0.0012126	0.011913	91	6	-0.98051	0.99975	0.99973	0.999995	804	0	-0.98051
ANG3	6	0.00025338	0.0012324	0.011976	92	6	-1.01	0.99975	0.99973	0.999995	803	0	-1.01
GAPDH	6	0.00027272	0.0013215	0.012703	93	6	-1.0037	0.99973	0.9997	0.999995	802	0	-1.0037
TUBB	6	0.00030769	0.00147	0.01398	94	6	-1.0398	0.99969	0.99964	0.999995	801	0	-1.0398
PSMA1	6	0.00042844	0.0020837	0.019609	95	5	-1.1694	0.9982	0.99795	0.999995	799	0	-1.1694
TIE2	6	0.00055163	0.0027172	0.025304	96	6	-1.2668	0.99945	0.99938	0.999995	800	0	-1.2668
UBC	6	0.0023506	0.010221	0.094198	97	5	-0.89838	0.99303	0.99244	0.999995	796	0	-0.89838
EP300	6	0.049262	0.13698	0.999995	98	4	-0.28788	0.59786	0.76215	0.932474	613	2	-0.28788
CDH5	6	0.072821	0.18909	0.999995	99	4	-0.21917	0.99622	0.99594	0.999995	798	0	-0.21917
TAS2R27	6	0.149	0.30036	0.999995	100	3	-0.24967	0.92003	0.93059	0.999995	790	1	-0.24967
NonTargeting_436	1	0.18431	0.1837	0.999995	101	1	-0.64104	0.81569	0.81683	0.954566	778	0	-0.64104
NonTargeting_469	1	0.18879	0.18841	0.999995	102	1	-0.61476	0.81121	0.81269	0.952221	777	0	-0.61476
NonTargeting_278	1	0.20155	0.20131	0.999995	103	1	-0.57999	0.79845	0.80048	0.944492	776	0	-0.57999
NonTargeting_158	1	0.2081	0.20787	0.999995	104	1	-0.53389	0.7919	0.79363	0.940993	775	0	-0.53389
NonTargeting_213	1	0.21397	0.21353	0.999995	105	1	-0.45242	0.78603	0.78796	0.935509	774	0	-0.45242
NonTargeting_103	1	0.21603	0.21561	0.999995	106	1	-0.47664	0.78397	0.786	0.934423	773	0	-0.47664
KDR	6	0.21807	0.39572	0.999995	107	3	0.055108	0.14541	0.33189	0.894417	214	3	0.055108
NonTargeting_461	1	0.21879	0.21852	0.999995	108	1	-0.43294	0.78121	0.7832	0.932474	772	0	-0.43294
NonTargeting_84	1	0.21914	0.2189	0.999995	109	1	-0.43251	0.78086	0.78282	0.932474	771	0	-0.43251
NonTargeting_244	1	0.21948	0.21932	0.999995	110	1	-0.44952	0.78052	0.78242	0.932474	770	0	-0.44952
NonTargeting_245	1	0.22052	0.22023	0.999995	111	1	-0.45414	0.77948	0.78144	0.932474	769	0	-0.45414
NonTargeting_148	1	0.22086	0.22059	0.999995	112	1	-0.42641	0.77914	0.78103	0.932474	768	0	-0.42641
NonTargeting_83	1	0.22259	0.22229	0.999995	113	1	-0.45418	0.77741	0.7794	0.932474	767	0	-0.45418
NonTargeting_402	1	0.22466	0.2243	0.999995	114	1	-0.39795	0.77534	0.77703	0.932474	766	0	-0.39795
NonTargeting_330	1	0.22672	0.22655	0.999995	115	1	-0.40988	0.77328	0.77508	0.932474	765	0	-0.40988
NonTargeting_306	1	0.2281	0.22817	0.999995	116	1	-0.42184	0.7719	0.77367	0.932474	764	0	-0.42184
NonTargeting_70	1	0.23121	0.23118	0.999995	117	1	-0.35318	0.76879	0.77057	0.932474	762	0	-0.35318
NonTargeting_175	1	0.23224	0.2321	0.999995	118	1	-0.38142	0.76776	0.76955	0.932474	761	0	-0.38142
NonTargeting_120	1	0.23259	0.23256	0.999995	119	1	-0.33566	0.76741	0.76918	0.932474	760	0	-0.33566
NonTargeting_167	1	0.23431	0.23421	0.999995	120	1	-0.38755	0.76569	0.76736	0.932474	757	0	-0.38755
NonTargeting_96	1	0.235	0.23482	0.999995	121	1	-0.37746	0.765	0.76661	0.932474	756	0	-0.37746
NonTargeting_394	1	0.23534	0.23524	0.999995	122	1	-0.34073	0.76466	0.76621	0.932474	755	0	-0.34073
KCNJ12	6	0.23646	0.42074	0.999995	123	3	-0.1537	0.76661	0.86614	0.996566	759	1	-0.1537
NonTargeting_232	1	0.23879	0.2388	0.999995	124	1	-0.33058	0.76121	0.76295	0.932474	753	0	-0.33058
NonTargeting_57	1	0.23914	0.23905	0.999995	125	1	-0.34936	0.76086	0.76266	0.932474	752	0	-0.34936
NonTargeting_395	1	0.23983	0.23976	0.999995	126	1	-0.33979	0.76017	0.762	0.932474	751	0	-0.33979
NonTargeting_477	1	0.24052	0.24042	0.999995	127	1	-0.34937	0.75948	0.76114	0.932474	750	0	-0.34937
NonTargeting_318	1	0.2419	0.24189	0.999995	128	1	-0.32809	0.7581	0.75969	0.932474	749	0	-0.32809
NonTargeting_90	1	0.24328	0.24325	0.999995	129	1	-0.33753	0.75672	0.75832	0.932474	748	0	-0.33753
NonTargeting_435	1	0.24431	0.24445	0.999995	130	1	-0.33946	0.75569	0.75716	0.932474	747	0	-0.33946
NonTargeting_313	1	0.245	0.24508	0.999995	131	1	-0.32444	0.755	0.75654	0.932474	746	0	-0.32444
NCOA2	6	0.24648	0.43428	0.999995	132	3	-0.16549	0.87972	0.90982	0.999995	787	1	-0.16549
NonTargeting_118	1	0.24983	0.24975	0.999995	133	1	-0.32557	0.75017	0.75157	0.932474	745	0	-0.32557
NonTargeting_384	1	0.25121	0.25104	0.999995	134	1	-0.32186	0.74879	0.75013	0.932474	743	0	-0.32186
NonTargeting_408	1	0.25224	0.25225	0.999995	135	1	-0.30952	0.74776	0.74927	0.932474	742	0	-0.30952
NonTargeting_36	1	0.25293	0.25292	0.999995	136	1	-0.29859	0.74707	0.74863	0.932474	741	0	-0.29859
NonTargeting_293	1	0.25328	0.25323	0.999995	137	1	-0.32558	0.74672	0.74815	0.932474	740	0	-0.32558
NonTargeting_97	1	0.25397	0.25395	0.999995	138	1	-0.32029	0.74603	0.74746	0.932474	738	0	-0.32029
NonTargeting_95	1	0.25569	0.2558	0.999995	139	1	-0.31163	0.74431	0.74588	0.932474	737	0	-0.31163
NonTargeting_211	1	0.25603	0.25615	0.999995	140	1	-0.33152	0.74397	0.74553	0.932474	736	0	-0.33152
NonTargeting_150	1	0.25638	0.25648	0.999995	141	1	-0.2857	0.74362	0.74521	0.932474	735	0	-0.2857
NonTargeting_113	1	0.25672	0.25685	0.999995	142	1	-0.29479	0.74328	0.74491	0.932474	734	0	-0.29479
NonTargeting_299	1	0.25707	0.25721	0.999995	143	1	-0.30733	0.74293	0.74458	0.932474	733	0	-0.30733
NonTargeting_281	1	0.25776	0.258	0.999995	144	1	-0.30845	0.74224	0.74393	0.932474	732	0	-0.30845
NonTargeting_123	1	0.25948	0.25973	0.999995	145	1	-0.29905	0.74052	0.74197	0.932474	731	0	-0.29905
NonTargeting_252	1	0.26121	0.26143	0.999995	146	1	-0.28781	0.73879	0.74035	0.932474	730	0	-0.28781
NonTargeting_186	1	0.26362	0.26415	0.999995	147	1	-0.27259	0.73638	0.7377	0.932474	729	0	-0.27259
NonTargeting_390	1	0.26431	0.26481	0.999995	148	1	-0.2942	0.73569	0.73705	0.932474	728	0	-0.2942
NonTargeting_463	1	0.26466	0.2653	0.999995	149	1	-0.29078	0.73534	0.73667	0.932474	727	0	-0.29078
NonTargeting_205	1	0.26569	0.26644	0.999995	150	1	-0.25599	0.73431	0.73555	0.932474	726	0	-0.25599
NonTargeting_375	1	0.26638	0.26716	0.999995	151	1	-0.27341	0.73362	0.73487	0.932474	725	0	-0.27341
NonTargeting_485	1	0.26776	0.26859	0.999995	152	1	-0.28173	0.73224	0.73351	0.932474	723	0	-0.28173
NonTargeting_355	1	0.27121	0.27186	0.999995	153	1	-0.25255	0.72879	0.73039	0.932474	722	0	-0.25255
NonTargeting_467	1	0.2719	0.27247	0.999995	154	1	-0.25358	0.7281	0.72973	0.932474	721	0	-0.25358
NonTargeting_480	1	0.27293	0.27355	0.999995	155	1	-0.24749	0.72707	0.72869	0.932474	720	0	-0.24749
NonTargeting_78	1	0.27328	0.27395	0.999995	156	1	-0.26286	0.72672	0.72824	0.932474	719	0	-0.26286
NonTargeting_369	1	0.27431	0.27505	0.999995	157	1	-0.26357	0.72569	0.72721	0.932474	718	0	-0.26357
NonTargeting_240	1	0.27845	0.27913	0.999995	158	1	-0.25145	0.72155	0.72265	0.932474	716	0	-0.25145
NonTargeting_76	1	0.28052	0.28093	0.999995	159	1	-0.24076	0.71948	0.72058	0.932474	715	0	-0.24076
NonTargeting_333	1	0.2819	0.28216	0.999995	160	1	-0.24993	0.7181	0.71933	0.932474	714	0	-0.24993
NonTargeting_23	1	0.28259	0.28281	0.999995	161	1	-0.23264	0.71741	0.71865	0.932474	713	0	-0.23264
NonTargeting_432	1	0.28362	0.28377	0.999995	162	1	-0.21903	0.71638	0.71759	0.932474	711	0	-0.21903
NonTargeting_440	1	0.28707	0.28738	0.999995	163	1	-0.21512	0.71293	0.71392	0.931742	710	0	-0.21512
NonTargeting_60	1	0.28845	0.28889	0.999995	164	1	-0.24553	0.71155	0.71246	0.931742	709	0	-0.24553
NonTargeting_116	1	0.28879	0.28923	0.999995	165	1	-0.21397	0.71121	0.71212	0.931742	708	0	-0.21397
NonTargeting_347	1	0.29017	0.29061	0.999995	166	1	-0.23897	0.70983	0.71059	0.931742	706	0	-0.23897
NonTargeting_204	1	0.29052	0.29099	0.999995	167	1	-0.21881	0.70948	0.7102	0.931742	705	0	-0.21881
NonTargeting_233	1	0.29121	0.29156	0.999995	168	1	-0.19537	0.70879	0.70944	0.931742	704	0	-0.19537
NonTargeting_27	1	0.29155	0.29187	0.999995	169	1	-0.23412	0.70845	0.70907	0.931742	703	0	-0.23412
NonTargeting_448	1	0.2919	0.29227	0.999995	170	1	-0.21324	0.7081	0.70874	0.931742	702	0	-0.21324
NonTargeting_350	1	0.29224	0.2926	0.999995	171	1	-0.18863	0.70776	0.70841	0.931742	701	0	-0.18863
NonTargeting_140	1	0.29431	0.29491	0.999995	172	1	-0.18914	0.70569	0.70653	0.931742	699	0	-0.18914
NonTargeting_388	1	0.29638	0.29725	0.999995	173	1	-0.19626	0.70362	0.70455	0.931742	698	0	-0.19626
NonTargeting_456	1	0.29776	0.2986	0.999995	174	1	-0.20538	0.70224	0.70315	0.931742	697	0	-0.20538
NonTargeting_133	1	0.2981	0.29893	0.999995	175	1	-0.19613	0.7019	0.70284	0.931742	696	0	-0.19613
NonTargeting_131	1	0.29914	0.29989	0.999995	176	1	-0.19613	0.70086	0.70176	0.931742	694	0	-0.19613
NonTargeting_225	1	0.29983	0.30041	0.999995	177	1	-0.18351	0.70017	0.70118	0.931742	693	0	-0.18351
NonTargeting_39	1	0.30052	0.30114	0.999995	178	1	-0.17465	0.69948	0.70039	0.931742	692	0	-0.17465
NonTargeting_337	1	0.30121	0.30178	0.999995	179	1	-0.19091	0.69879	0.69978	0.931742	691	0	-0.19091
NonTargeting_112	1	0.30603	0.30639	0.999995	180	0	-0.17036	0.69397	0.6948	0.931742	690	0	-0.17036
NonTargeting_197	1	0.30638	0.30669	0.999995	181	0	-0.17397	0.69362	0.69462	0.931742	689	0	-0.17397
NonTargeting_77	1	0.30707	0.30747	0.999995	182	0	-0.18201	0.69293	0.69399	0.931742	688	0	-0.18201
NonTargeting_488	1	0.30879	0.30897	0.999995	183	0	-0.16858	0.69121	0.69244	0.931742	687	0	-0.16858
NonTargeting_55	1	0.30983	0.31016	0.999995	184	0	-0.17033	0.69017	0.69151	0.931742	685	0	-0.17033
NonTargeting_336	1	0.31017	0.31053	0.999995	185	0	-0.16607	0.68983	0.691	0.931742	684	0	-0.16607
NonTargeting_226	1	0.31052	0.31079	0.999995	186	0	-0.17644	0.68948	0.69072	0.931742	683	0	-0.17644
NonTargeting_74	1	0.31155	0.31179	0.999995	187	0	-0.17309	0.68845	0.68952	0.931742	682	0	-0.17309
NonTargeting_168	1	0.31397	0.31426	0.999995	188	0	-0.16914	0.68603	0.68745	0.931742	681	0	-0.16914
NonTargeting_182	1	0.31431	0.31464	0.999995	189	0	-0.16621	0.68569	0.68712	0.931742	680	0	-0.16621
NonTargeting_459	1	0.31466	0.31497	0.999995	190	0	-0.14982	0.68534	0.68682	0.931742	679	0	-0.14982
NonTargeting_42	1	0.3181	0.31833	0.999995	191	0	-0.16782	0.6819	0.68338	0.931742	678	0	-0.16782
NonTargeting_284	1	0.32155	0.3219	0.999995	192	0	-0.14467	0.67845	0.68006	0.931742	676	0	-0.14467
NonTargeting_441	1	0.32224	0.32244	0.999995	193	0	-0.14174	0.67776	0.67945	0.931742	675	0	-0.14174
NonTargeting_279	1	0.32328	0.32356	0.999995	194	0	-0.15958	0.67672	0.67837	0.931742	674	0	-0.15958
NonTargeting_63	1	0.32431	0.32468	0.999995	195	0	-0.15533	0.67569	0.67748	0.931742	673	0	-0.15533
NonTargeting_316	1	0.325	0.32527	0.999995	196	0	-0.14715	0.675	0.67695	0.931742	672	0	-0.14715
NonTargeting_82	1	0.32707	0.32715	0.999995	197	0	-0.15003	0.67293	0.67499	0.931742	671	0	-0.15003
NonTargeting_449	1	0.32741	0.32763	0.999995	198	0	-0.14267	0.67259	0.67469	0.931742	669	0	-0.14267
NonTargeting_460	1	0.32948	0.32963	0.999995	199	0	-0.14044	0.67052	0.67274	0.931742	668	0	-0.14044
NonTargeting_132	1	0.33052	0.33067	0.999995	200	0	-0.14204	0.66948	0.67172	0.931742	666	0	-0.14204
NonTargeting_473	1	0.33672	0.33715	0.999995	201	0	-0.13085	0.66328	0.66561	0.931742	663	0	-0.13085
NonTargeting_16	1	0.33879	0.3393	0.999995	202	0	-0.12095	0.66121	0.66356	0.931742	661	0	-0.12095
NonTargeting_239	1	0.33948	0.33984	0.999995	203	0	-0.11626	0.66052	0.66294	0.931742	659	0	-0.11626
NonTargeting_314	1	0.34259	0.3434	0.999995	204	0	-0.11337	0.65741	0.66028	0.931742	658	0	-0.11337
NonTargeting_200	1	0.34328	0.34421	0.999995	205	0	-0.11537	0.65672	0.65961	0.931742	657	0	-0.11537
NonTargeting_321	1	0.34362	0.34457	0.999995	206	0	-0.1138	0.65638	0.65931	0.931742	656	0	-0.1138
NonTargeting_496	1	0.34397	0.34484	0.999995	207	0	-0.10478	0.65603	0.65892	0.931742	655	0	-0.10478
NonTargeting_14	1	0.34569	0.34642	0.999995	208	0	-0.10474	0.65431	0.65711	0.931742	654	0	-0.10474
NonTargeting_2	1	0.34707	0.34769	0.999995	209	0	-0.11222	0.65293	0.65574	0.931742	653	0	-0.11222
NonTargeting_310	1	0.34741	0.34808	0.999995	210	0	-0.10822	0.65259	0.65539	0.931742	652	0	-0.10822
NonTargeting_404	1	0.34776	0.34834	0.999995	211	0	-0.104	0.65224	0.65509	0.931742	651	0	-0.104
NonTargeting_439	1	0.34914	0.34964	0.999995	212	0	-0.097853	0.65086	0.65374	0.931742	650	0	-0.097853
NonTargeting_196	1	0.35052	0.35127	0.999995	213	0	-0.10565	0.64948	0.65253	0.931742	649	0	-0.10565
NonTargeting_332	1	0.35293	0.35372	0.999995	214	0	-0.10517	0.64707	0.6499	0.931742	648	0	-0.10517
NonTargeting_262	1	0.35328	0.35407	0.999995	215	0	-0.099839	0.64672	0.64958	0.931742	647	0	-0.099839
ACVRL1	6	0.35777	0.52761	0.999995	216	2	0.0089367	0.36089	0.58172	0.920929	423	1	0.0089367
BMP9	6	0.35862	0.52837	0.999995	217	2	-0.027859	0.76645	0.86609	0.996566	758	2	-0.027859
NonTargeting_127	1	0.3619	0.36207	0.999995	218	0	-0.086932	0.6381	0.64062	0.931742	646	0	-0.086932
NonTargeting_236	1	0.36534	0.36566	0.999995	219	0	-0.080956	0.63466	0.63719	0.931742	645	0	-0.080956
NonTargeting_363	1	0.3719	0.37227	0.999995	220	0	-0.068883	0.6281	0.63039	0.929648	642	0	-0.068883
NonTargeting_282	1	0.37224	0.37258	0.999995	221	0	-0.066172	0.62776	0.63005	0.929648	640	0	-0.066172
NonTargeting_192	1	0.37328	0.37369	0.999995	222	0	-0.066021	0.62672	0.62892	0.929648	639	0	-0.066021
NonTargeting_280	1	0.37397	0.37437	0.999995	223	0	-0.064902	0.62603	0.62816	0.929648	638	0	-0.064902
NonTargeting_410	1	0.3781	0.37864	0.999995	224	0	-0.061023	0.6219	0.62379	0.929447	637	0	-0.061023
NonTargeting_320	1	0.37914	0.3798	0.999995	225	0	-0.057429	0.62086	0.62279	0.929447	635	0	-0.057429
NonTargeting_290	1	0.37983	0.38042	0.999995	226	0	-0.057524	0.62017	0.62196	0.929447	634	0	-0.057524
