id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CLDN1	6	2.2566e-05	0.00010336	0.002212	41	6	-1.317	0.99998	0.99998	0.999995	862	0	-1.317
ACTB	6	2.3412e-05	0.00010336	0.002212	42	6	-1.3883	0.99998	0.99998	0.999995	861	0	-1.3883
KLK9	6	2.5799e-05	0.0001132	0.002367	43	6	-1.335	0.99997	0.99998	0.999995	858	0	-1.335
PSMA1	6	3.343e-05	0.00015258	0.003032	44	6	-1.153	0.99997	0.99996	0.999995	857	0	-1.153
TGM3	6	3.3817e-05	0.00015258	0.003032	45	6	-1.366	0.99997	0.99996	0.999995	856	0	-1.366
KRT3	6	3.5001e-05	0.00016242	0.003032	46	6	-1.3356	0.99996	0.99996	0.999995	855	0	-1.3356
KLK6	6	3.622e-05	0.00016242	0.003032	47	6	-1.2501	0.99996	0.99996	0.999995	854	0	-1.2501
ROCK2	6	3.8763e-05	0.00017227	0.003032	48	6	-1.734	0.99996	0.99995	0.999995	853	0	-1.734
KRT12	6	3.9201e-05	0.00017227	0.003032	49	6	-1.2195	0.99996	0.99995	0.999995	852	0	-1.2195
DSG1	6	4.054e-05	0.00018211	0.003032	50	6	-1.2127	0.99996	0.99995	0.999995	851	0	-1.2127
KLK14	6	4.0995e-05	0.00018211	0.003032	51	6	-1.4117	0.99996	0.99995	0.999995	850	0	-1.4117
PAK2	6	4.1917e-05	0.00018211	0.003032	52	6	-1.5267	0.99996	0.99995	0.999995	849	0	-1.5267
RPS5	6	4.2384e-05	0.00018211	0.003032	53	6	-1.3619	0.99996	0.99995	0.999995	848	0	-1.3619
SPRR3A	6	4.3332e-05	0.00018211	0.003032	54	6	-1.2489	0.99996	0.99995	0.999995	847	0	-1.2489
GRHL3	6	4.3813e-05	0.00019195	0.003082	55	6	-1.422	0.99996	0.99995	0.999995	846	0	-1.422
TUBA1A	6	4.4787e-05	0.00019195	0.003082	56	6	-1.242	0.99996	0.99995	0.999995	845	0	-1.242
DSC2	6	4.679e-05	0.00021164	0.00328	57	6	-1.3555	0.99995	0.99995	0.999995	843	0	-1.3555
SPRR1A	6	4.7303e-05	0.00021164	0.00328	58	6	-1.2476	0.99995	0.99995	0.999995	842	0	-1.2476
KRT9	6	5.2688e-05	0.00025102	0.003761	59	6	-1.3368	0.99995	0.99995	0.999995	841	0	-1.3368
RPS3	6	5.3253e-05	0.00025102	0.003761	60	6	-1.3963	0.99995	0.99995	0.999995	840	0	-1.3963
PSMA2	6	5.44e-05	0.00026086	0.003844	61	6	-1.2853	0.99995	0.99994	0.999995	839	0	-1.2853
TGM1	6	5.6157e-05	0.0002707	0.003925	62	6	-1.2731	0.99994	0.99994	0.999995	838	0	-1.2731
ACTG1	6	5.6754e-05	0.00028055	0.003941	63	6	-1.2818	0.99994	0.99994	0.999995	837	0	-1.2818
KRT10	6	5.7355e-05	0.00028055	0.003941	64	6	-1.3056	0.99994	0.99994	0.999995	836	0	-1.3056
KLK10	6	5.8575e-05	0.00029039	0.003955	65	6	-1.233	0.99994	0.99994	0.999995	835	0	-1.233
RPL5	6	5.9192e-05	0.00029039	0.003955	66	6	-1.3481	0.99994	0.99994	0.999995	834	0	-1.3481
UBC	6	6.1078e-05	0.00031008	0.004099	67	6	-1.269	0.99994	0.99993	0.999995	833	0	-1.269
RPS4	6	6.2363e-05	0.00031008	0.004099	68	6	-1.3432	0.99994	0.99992	0.999995	832	0	-1.3432
IVL	6	6.5e-05	0.00032977	0.004134	69	6	-1.4502	0.99994	0.9999	0.999995	831	0	-1.4502
KRT8	6	6.6352e-05	0.00033961	0.004134	70	6	-1.3403	0.99993	0.99989	0.999995	830	0	-1.3403
KLK5	6	6.7038e-05	0.00033961	0.004134	71	6	-1.4819	0.99993	0.99989	0.999995	829	0	-1.4819
ENO1	6	6.7729e-05	0.00034945	0.004134	72	6	-1.1842	0.99993	0.99989	0.999995	828	0	-1.1842
FLG	6	6.8426e-05	0.00034945	0.004134	73	6	-1.318	0.99993	0.99989	0.999995	827	0	-1.318
KRT20	6	7.0553e-05	0.00034945	0.004134	74	6	-1.2107	0.99993	0.99989	0.999995	826	0	-1.2107
KLK7	6	7.1274e-05	0.00034945	0.004134	75	6	-1.1958	0.99993	0.99988	0.999995	825	0	-1.1958
PSMC1	6	7.2001e-05	0.00034945	0.004134	76	6	-1.2183	0.99993	0.99988	0.999995	824	0	-1.2183
KRT11	6	7.422e-05	0.0003593	0.004141	77	6	-1.1873	0.99993	0.99988	0.999995	823	0	-1.1873
UBA1	6	7.5731e-05	0.0003593	0.004141	78	6	-1.158	0.99992	0.99988	0.999995	822	0	-1.158
KRT15	6	7.7268e-05	0.00036914	0.004201	79	6	-1.4019	0.99992	0.99988	0.999995	821	0	-1.4019
KRT2	6	8.2033e-05	0.0004282	0.004665	80	6	-1.353	0.99992	0.99987	0.999995	820	0	-1.353
DSG4	6	8.2851e-05	0.00043805	0.004665	81	6	-1.2746	0.99992	0.99987	0.999995	819	0	-1.2746
KRT4	6	8.3675e-05	0.00044789	0.004665	82	6	-1.2343	0.99992	0.99987	0.999995	818	0	-1.2343
KRT13	6	8.4506e-05	0.00044789	0.004665	83	6	-1.2754	0.99992	0.99987	0.999995	817	0	-1.2754
SPRR2A	6	8.6189e-05	0.00044789	0.004665	84	6	-1.4371	0.99991	0.99987	0.999995	816	0	-1.4371
OCLN	6	8.79e-05	0.00045774	0.004665	85	6	-1.2646	0.99991	0.99987	0.999995	815	0	-1.2646
GAPDH	6	8.9639e-05	0.00045774	0.004665	86	6	-1.2651	0.99991	0.99987	0.999995	814	0	-1.2651
KLK13	6	9.052e-05	0.00045774	0.004665	87	6	-1.307	0.99991	0.99987	0.999995	813	0	-1.307
KLK8	6	9.1407e-05	0.00046758	0.004665	88	6	-1.2723	0.99991	0.99987	0.999995	812	0	-1.2723
PKM	6	9.2302e-05	0.00046758	0.004665	89	6	-1.2161	0.99991	0.99987	0.999995	811	0	-1.2161
KRT5	6	9.3204e-05	0.00047742	0.004665	90	6	-1.248	0.99991	0.99987	0.999995	810	0	-1.248
PSMD1	6	9.4113e-05	0.00047742	0.004665	91	6	-1.2085	0.99991	0.99987	0.999995	809	0	-1.2085
KRT16	6	9.503e-05	0.00047742	0.004665	92	6	-1.0629	0.9999	0.99986	0.999995	808	0	-1.0629
KRT18	6	9.6886e-05	0.00048727	0.00471	93	6	-1.2935	0.9999	0.99986	0.999995	807	0	-1.2935
TP63	6	9.7825e-05	0.00049711	0.004747	94	6	-1.238	0.9999	0.99986	0.999995	806	0	-1.238
LDHA	6	9.8771e-05	0.00050695	0.004747	95	6	-1.2223	0.9999	0.99986	0.999995	805	0	-1.2223
HSP90AA1	6	9.9726e-05	0.00050695	0.004747	96	6	-1.2439	0.9999	0.99986	0.999995	804	0	-1.2439
PGK1	6	0.00010069	0.0005168	0.00479	97	6	-1.3497	0.9999	0.99986	0.999995	803	0	-1.3497
DSC1	6	0.00010263	0.00054633	0.005012	98	6	-1.2568	0.9999	0.99986	0.999995	802	0	-1.2568
KRT14	6	0.00010362	0.00055617	0.005051	99	6	-1.2521	0.9999	0.99985	0.999995	801	0	-1.2521
DSG2	6	0.00010461	0.00057586	0.005177	100	6	-1.186	0.9999	0.99985	0.999995	800	0	-1.186
KRT7	6	0.00010561	0.0005857	0.005198	101	6	-1.256	0.99989	0.99985	0.999995	799	0	-1.256
KRT19	6	0.00010662	0.00059555	0.005198	102	6	-1.2788	0.99989	0.99985	0.999995	798	0	-1.2788
DSG3	6	0.00010764	0.00059555	0.005198	103	6	-1.2123	0.99989	0.99985	0.999995	797	0	-1.2123
HSPA8	6	0.00010867	0.00060539	0.005233	104	6	-1.4108	0.99989	0.99985	0.999995	796	0	-1.4108
KLK12	6	0.0001097	0.00062508	0.005301	105	6	-1.2697	0.99989	0.99985	0.999995	795	0	-1.2697
TUBB	6	0.00011074	0.00062508	0.005301	106	6	-1.0191	0.99989	0.99985	0.999995	794	0	-1.0191
NonTargeting_309	1	0.22052	0.22017	0.999995	107	1	-0.15304	0.77948	0.78142	0.942128	744	0	-0.15304
NonTargeting_194	1	0.22086	0.22054	0.999995	108	1	-0.15594	0.77914	0.78102	0.942128	743	0	-0.15594
NonTargeting_209	1	0.22155	0.22125	0.999995	109	1	-0.14877	0.77845	0.78035	0.942128	741	0	-0.14877
NonTargeting_113	1	0.2219	0.22157	0.999995	110	1	-0.16157	0.7781	0.78011	0.942128	740	0	-0.16157
NonTargeting_90	1	0.225	0.22467	0.999995	111	1	-0.13411	0.775	0.77672	0.942128	739	0	-0.13411
NonTargeting_455	1	0.22534	0.22502	0.999995	112	0	-0.13565	0.77466	0.77643	0.942128	738	0	-0.13565
NonTargeting_282	1	0.22672	0.2265	0.999995	113	0	-0.12885	0.77328	0.77506	0.942128	737	0	-0.12885
NonTargeting_425	1	0.22914	0.22906	0.999995	114	0	-0.10775	0.77086	0.77264	0.942128	736	0	-0.10775
NonTargeting_115	1	0.22948	0.2294	0.999995	115	0	-0.11332	0.77052	0.77226	0.942128	735	0	-0.11332
NonTargeting_220	1	0.23431	0.23415	0.999995	116	0	-0.1034	0.76569	0.76737	0.94115	733	0	-0.1034
NonTargeting_127	1	0.23466	0.23443	0.999995	117	0	-0.10224	0.76534	0.767	0.94115	732	0	-0.10224
NonTargeting_120	1	0.23569	0.23549	0.999995	118	0	-0.10287	0.76431	0.76585	0.94115	730	0	-0.10287
NonTargeting_462	1	0.23672	0.2367	0.999995	119	0	-0.1107	0.76328	0.76492	0.94115	728	0	-0.1107
NonTargeting_430	1	0.23707	0.23703	0.999995	120	0	-0.11512	0.76293	0.76451	0.94115	727	0	-0.11512
NonTargeting_207	1	0.23776	0.23762	0.999995	121	0	-0.11689	0.76224	0.76394	0.94115	726	0	-0.11689
NonTargeting_131	1	0.2381	0.238	0.999995	122	0	-0.10879	0.7619	0.76365	0.94115	725	0	-0.10879
NonTargeting_154	1	0.23948	0.23933	0.999995	123	0	-0.1064	0.76052	0.76229	0.94115	723	0	-0.1064
NonTargeting_355	1	0.24086	0.24069	0.999995	124	0	-0.10289	0.75914	0.76078	0.94115	721	0	-0.10289
NonTargeting_489	1	0.2419	0.24184	0.999995	125	0	-0.095867	0.7581	0.7597	0.94115	720	0	-0.095867
NonTargeting_376	1	0.24224	0.24223	0.999995	126	0	-0.10032	0.75776	0.75931	0.94115	718	0	-0.10032
NonTargeting_495	1	0.24397	0.24394	0.999995	127	0	-0.077276	0.75603	0.75754	0.94115	717	0	-0.077276
NonTargeting_319	1	0.24534	0.24539	0.999995	128	0	-0.09522	0.75466	0.75624	0.94115	715	0	-0.09522
NonTargeting_234	1	0.24776	0.24781	0.999995	129	0	-0.081981	0.75224	0.75386	0.94115	714	0	-0.081981
NonTargeting_148	1	0.25052	0.25041	0.999995	130	0	-0.082216	0.74948	0.75084	0.94115	712	0	-0.082216
NonTargeting_123	1	0.25121	0.25095	0.999995	131	0	-0.089289	0.74879	0.7501	0.94115	711	0	-0.089289
NonTargeting_144	1	0.25259	0.25242	0.999995	132	0	-0.07345	0.74741	0.74893	0.94115	710	0	-0.07345
NonTargeting_401	1	0.25328	0.25314	0.999995	133	0	-0.071516	0.74672	0.74813	0.94115	709	0	-0.071516
NonTargeting_91	1	0.25466	0.25456	0.999995	134	0	-0.08623	0.74534	0.74681	0.94115	708	0	-0.08623
NonTargeting_396	1	0.25569	0.25572	0.999995	135	0	-0.080372	0.74431	0.74584	0.94115	707	0	-0.080372
NonTargeting_69	1	0.25879	0.25897	0.999995	136	0	-0.080936	0.74121	0.74273	0.94115	704	0	-0.080936
NonTargeting_159	1	0.25948	0.25962	0.999995	137	0	-0.076063	0.74052	0.74193	0.94115	703	0	-0.076063
NonTargeting_477	1	0.25983	0.25994	0.999995	138	0	-0.083079	0.74017	0.74162	0.94115	702	0	-0.083079
NonTargeting_98	1	0.26121	0.26133	0.999995	139	0	-0.074478	0.73879	0.7403	0.94115	699	0	-0.074478
NonTargeting_1	1	0.26155	0.26168	0.999995	140	0	-0.077232	0.73845	0.73991	0.94115	698	0	-0.077232
NonTargeting_151	1	0.26328	0.26373	0.999995	141	0	-0.085288	0.73672	0.73798	0.94115	697	0	-0.085288
NonTargeting_89	1	0.26362	0.26404	0.999995	142	0	-0.085751	0.73638	0.73764	0.94115	696	0	-0.085751
NonTargeting_107	1	0.26397	0.2644	0.999995	143	0	-0.071417	0.73603	0.73735	0.94115	695	0	-0.071417
NonTargeting_37	1	0.2681	0.26885	0.999995	144	0	-0.068427	0.7319	0.73315	0.94115	693	0	-0.068427
NonTargeting_283	1	0.26879	0.26949	0.999995	145	0	-0.06807	0.73121	0.73243	0.94115	692	0	-0.06807
NonTargeting_431	1	0.26914	0.2698	0.999995	146	0	-0.074207	0.73086	0.73221	0.94115	691	0	-0.074207
NonTargeting_388	1	0.27155	0.27208	0.999995	147	0	-0.071138	0.72845	0.72997	0.94115	689	0	-0.071138
NonTargeting_395	1	0.27397	0.27458	0.999995	148	0	-0.071483	0.72603	0.72759	0.94115	686	0	-0.071483
NonTargeting_369	1	0.275	0.27573	0.999995	149	0	-0.06745	0.725	0.72655	0.94115	684	0	-0.06745
NonTargeting_111	1	0.27534	0.27606	0.999995	150	0	-0.064028	0.72466	0.72607	0.94115	683	0	-0.064028
NonTargeting_229	1	0.27569	0.27643	0.999995	151	0	-0.068278	0.72431	0.72573	0.94115	681	0	-0.068278
NonTargeting_260	1	0.27983	0.28022	0.999995	152	0	-0.068905	0.72017	0.72113	0.94115	679	0	-0.068905
NonTargeting_310	1	0.28017	0.28052	0.999995	153	0	-0.067406	0.71983	0.72087	0.94115	677	0	-0.067406
NonTargeting_76	1	0.28121	0.28146	0.999995	154	0	-0.064051	0.71879	0.71988	0.94115	676	0	-0.064051
NonTargeting_490	1	0.28224	0.28242	0.999995	155	0	-0.062443	0.71776	0.71893	0.94115	675	0	-0.062443
NonTargeting_221	1	0.28328	0.2834	0.999995	156	0	-0.059463	0.71672	0.71785	0.94115	674	0	-0.059463
NonTargeting_147	1	0.28362	0.28369	0.999995	157	0	-0.064216	0.71638	0.71753	0.94115	673	0	-0.064216
NonTargeting_380	1	0.28466	0.28464	0.999995	158	0	-0.057706	0.71534	0.71644	0.94115	672	0	-0.057706
NonTargeting_258	1	0.28603	0.28626	0.999995	159	0	-0.06039	0.71397	0.71501	0.94115	670	0	-0.06039
NonTargeting_40	1	0.28776	0.288	0.999995	160	0	-0.054685	0.71224	0.71305	0.94115	668	0	-0.054685
NonTargeting_252	1	0.2919	0.2922	0.999995	161	0	-0.056208	0.7081	0.70869	0.94115	666	0	-0.056208
NonTargeting_293	1	0.29224	0.29253	0.999995	162	0	-0.059486	0.70776	0.70834	0.94115	665	0	-0.059486
NonTargeting_181	1	0.29259	0.29289	0.999995	163	0	-0.056455	0.70741	0.70803	0.94115	664	0	-0.056455
NonTargeting_157	1	0.29362	0.29405	0.999995	164	0	-0.057028	0.70638	0.70706	0.94115	662	0	-0.057028
NonTargeting_288	1	0.29569	0.29651	0.999995	165	0	-0.053595	0.70431	0.70531	0.94115	659	0	-0.053595
NonTargeting_50	1	0.29672	0.29749	0.999995	166	0	-0.058488	0.70328	0.70413	0.94115	658	0	-0.058488
NonTargeting_236	1	0.29776	0.29852	0.999995	167	0	-0.05452	0.70224	0.70311	0.94115	657	0	-0.05452
NonTargeting_139	1	0.29948	0.30001	0.999995	168	0	-0.053381	0.70052	0.70147	0.94115	656	0	-0.053381
NonTargeting_259	1	0.30086	0.30134	0.999995	169	0	-0.050913	0.69914	0.70008	0.94115	655	0	-0.050913
NonTargeting_193	1	0.30397	0.30441	0.999995	170	0	-0.050526	0.69603	0.69696	0.94115	654	0	-0.050526
NonTargeting_124	1	0.305	0.30534	0.999995	171	0	-0.046891	0.695	0.69583	0.94115	652	0	-0.046891
NonTargeting_327	1	0.3081	0.30833	0.999995	172	0	-0.046882	0.6919	0.69311	0.94115	650	0	-0.046882
NonTargeting_125	1	0.30983	0.31008	0.999995	173	0	-0.047842	0.69017	0.69147	0.94115	647	0	-0.047842
NonTargeting_138	1	0.3119	0.31218	0.999995	174	0	-0.051683	0.6881	0.68917	0.94115	645	0	-0.051683
NonTargeting_346	1	0.31397	0.31418	0.999995	175	0	-0.047936	0.68603	0.68741	0.94115	643	0	-0.047936
NonTargeting_169	1	0.31466	0.31489	0.999995	176	0	-0.048198	0.68534	0.68676	0.94115	642	0	-0.048198
NonTargeting_397	1	0.315	0.31515	0.999995	177	0	-0.053445	0.685	0.68636	0.94115	641	0	-0.053445
NonTargeting_251	1	0.3181	0.31826	0.999995	178	0	-0.04281	0.6819	0.68329	0.94115	639	0	-0.04281
NonTargeting_328	1	0.31948	0.31977	0.999995	179	0	-0.047612	0.68052	0.68209	0.94115	637	0	-0.047612
NonTargeting_126	1	0.31983	0.32016	0.999995	180	0	-0.044463	0.68017	0.6817	0.94115	636	0	-0.044463
NonTargeting_492	1	0.32466	0.32485	0.999995	181	0	-0.042439	0.67534	0.67719	0.94115	634	0	-0.042439
NonTargeting_427	1	0.32879	0.3289	0.999995	182	0	-0.04228	0.67121	0.67328	0.94115	633	0	-0.04228
NonTargeting_92	1	0.33155	0.33165	0.999995	183	0	-0.04285	0.66845	0.67057	0.94115	632	0	-0.04285
NonTargeting_332	1	0.33534	0.33557	0.999995	184	0	-0.038815	0.66466	0.66678	0.94115	631	0	-0.038815
NonTargeting_257	1	0.3381	0.3385	0.999995	185	0	-0.037226	0.6619	0.66426	0.94115	629	0	-0.037226
NonTargeting_105	1	0.33845	0.33881	0.999995	186	0	-0.041343	0.66155	0.66389	0.94115	628	0	-0.041343
NonTargeting_468	1	0.33879	0.33923	0.999995	187	0	-0.037978	0.66121	0.66343	0.94115	627	0	-0.037978
NonTargeting_180	1	0.33914	0.33951	0.999995	188	0	-0.037598	0.66086	0.66315	0.94115	626	0	-0.037598
NonTargeting_102	1	0.34397	0.34475	0.999995	189	0	-0.037515	0.65603	0.65879	0.94115	623	0	-0.037515
NonTargeting_276	1	0.34534	0.34607	0.999995	190	0	-0.035278	0.65466	0.65737	0.94115	622	0	-0.035278
NonTargeting_161	1	0.34569	0.34634	0.999995	191	0	-0.036124	0.65431	0.65699	0.94115	621	0	-0.036124
NonTargeting_337	1	0.34672	0.34729	0.999995	192	0	-0.035778	0.65328	0.65592	0.94115	620	0	-0.035778
NonTargeting_75	1	0.34707	0.3476	0.999995	193	0	-0.034664	0.65293	0.65563	0.94115	619	0	-0.034664
NonTargeting_275	1	0.3481	0.34862	0.999995	194	0	-0.039952	0.6519	0.65455	0.94115	618	0	-0.039952
NonTargeting_166	1	0.34948	0.34993	0.999995	195	0	-0.035912	0.65052	0.65327	0.94115	616	0	-0.035912
NonTargeting_445	1	0.34983	0.35033	0.999995	196	0	-0.03634	0.65017	0.65299	0.94115	615	0	-0.03634
NonTargeting_480	1	0.35017	0.35076	0.999995	197	0	-0.039152	0.64983	0.65272	0.94115	614	0	-0.039152
NonTargeting_210	1	0.35052	0.35116	0.999995	198	0	-0.032639	0.64948	0.65242	0.94115	613	0	-0.032639
NonTargeting_280	1	0.35086	0.35152	0.999995	199	0	-0.032538	0.64914	0.65206	0.94115	612	0	-0.032538
NonTargeting_172	1	0.35121	0.35189	0.999995	200	0	-0.034533	0.64879	0.65164	0.94115	610	0	-0.034533
NonTargeting_422	1	0.35155	0.35227	0.999995	201	0	-0.034281	0.64845	0.65138	0.94115	609	0	-0.034281
NonTargeting_432	1	0.35293	0.3536	0.999995	202	0	-0.030686	0.64707	0.6498	0.94115	607	0	-0.030686
NonTargeting_286	1	0.35466	0.35533	0.999995	203	0	-0.032085	0.64534	0.64803	0.94115	606	0	-0.032085
NonTargeting_213	1	0.355	0.35555	0.999995	204	0	-0.032437	0.645	0.64779	0.94115	605	0	-0.032437
NonTargeting_85	1	0.35603	0.35652	0.999995	205	0	-0.030843	0.64397	0.64643	0.94115	604	0	-0.030843
NonTargeting_339	1	0.3581	0.35838	0.999995	206	0	-0.029731	0.6419	0.64427	0.94115	602	0	-0.029731
NonTargeting_141	1	0.35983	0.36013	0.999995	207	0	-0.033192	0.64017	0.64271	0.94115	600	0	-0.033192
NonTargeting_219	1	0.36017	0.36043	0.999995	208	0	-0.028364	0.63983	0.64242	0.94115	599	0	-0.028364
NonTargeting_440	1	0.36259	0.3628	0.999995	209	0	-0.028839	0.63741	0.63984	0.94115	597	0	-0.028839
NonTargeting_472	1	0.36328	0.36355	0.999995	210	0	-0.032864	0.63672	0.63904	0.94115	595	0	-0.032864
NonTargeting_68	1	0.365	0.36522	0.999995	211	0	-0.027132	0.635	0.6375	0.94115	593	0	-0.027132
NonTargeting_11	1	0.37052	0.37067	0.999995	212	0	-0.024021	0.62948	0.6317	0.94115	590	0	-0.024021
NonTargeting_451	1	0.3719	0.37218	0.999995	213	0	-0.02454	0.6281	0.63027	0.94115	589	0	-0.02454
NonTargeting_459	1	0.37224	0.37248	0.999995	214	0	-0.025343	0.62776	0.62993	0.94115	588	0	-0.025343
NonTargeting_48	1	0.37362	0.37387	0.999995	215	0	-0.026587	0.62638	0.62837	0.94115	587	0	-0.026587
NonTargeting_316	1	0.375	0.37541	0.999995	216	0	-0.024142	0.625	0.62686	0.94115	585	0	-0.024142
NonTargeting_405	1	0.37672	0.37718	0.999995	217	0	-0.027835	0.62328	0.6251	0.94115	584	0	-0.027835
NonTargeting_25	1	0.37741	0.37789	0.999995	218	0	-0.023749	0.62259	0.62438	0.94115	583	0	-0.023749
NonTargeting_38	1	0.38086	0.38136	0.999995	219	0	-0.02455	0.61914	0.62076	0.94115	582	0	-0.02455
NonTargeting_179	1	0.38328	0.38374	0.999995	220	0	-0.020702	0.61672	0.61849	0.94115	581	0	-0.020702
NonTargeting_42	1	0.38362	0.38406	0.999995	221	0	-0.02488	0.61638	0.61815	0.94115	580	0	-0.02488
NonTargeting_439	1	0.38466	0.38518	0.999995	222	0	-0.023056	0.61534	0.61692	0.94115	579	0	-0.023056
NonTargeting_8	1	0.38603	0.38658	0.999995	223	0	-0.021427	0.61397	0.61558	0.94115	578	0	-0.021427
NonTargeting_465	1	0.3881	0.38872	0.999995	224	0	-0.022265	0.6119	0.61336	0.94115	576	0	-0.022265
NonTargeting_471	1	0.38845	0.38907	0.999995	225	0	-0.021405	0.61155	0.61306	0.94115	575	0	-0.021405
NonTargeting_58	1	0.38983	0.39032	0.999995	226	0	-0.020796	0.61017	0.6119	0.94115	573	0	-0.020796
NonTargeting_494	1	0.39052	0.39094	0.999995	227	0	-0.020519	0.60948	0.61116	0.94115	572	0	-0.020519
